#key median minimum maximum
1 941772 939057 948799
2 1718172 1697825 1853399
3 1908624 1884293 1947121
4 3207719 3190549 3220171
5 2864529 2761634 2872773
6 3283238 3270865 3342101
7 3541049 3495441 3557627
8 5313660 5183021 5513410
9 4328079 4239867 4332996
10 4830498 4582432 4863319
11 4892019 4830846 4942684
12 5392799 5198663 5430968
13 5224167 5127655 5329155
14 4842132 4784487 5043136
15 4619380 4586914 4756967
16 3835348 3804246 3883552
