#index median minimum maximum
forwarding 14472408 14472328 14472521
ipfw-stateful 9629814 9542094 9670449.5
ipfw-stateless 12867282 12777595 13046829
pf-stateful 8491999 8387039 8609585
pf-stateless 8479803 8450661 8521735
ipf-stateful 717998 697871 741346
ipf-stateless 2061806 2043101 2082761
