#index median minimum maximum
forwarding 27916416 27875558 27961723
ipfw-stateful 18114322 18068859 18136743
ipfw-stateless 22271405 22196787 22392828
pf-stateful 8173436.5 7323213 8487597
pf-stateless 6304901 6219205 6572374.5
ipf-stateful 1586544.5 1546076.5 1690680
ipf-stateless 2445880 2417147.5 2452039
