#index median minimum maximum
r335106.inet4 3139656 3072936 3185201.5
r335106.inet6 3045351 3028076.5 3086243.5
r335106D15789.inet4 3523137.5 3510337 3633566
r335106D15789.inet6 3470575 3460215 3478395.5
