#index median minimum maximum
309541.fastforwarding 932102 914793 952267.5
309541.ipfw-statefull 555455 552761 557643
309541.pf-statefull 425982 424319 427722
309856.fastforwarding 908604 895691 926209
309856.ipfw-statefull 546578 535086 549051
309856.pf-statefull 429046 425197 431433
310236.fastforwarding 925545 912435 931883
310236.ipfw-statefull 550756 547243 573599
310236.pf-statefull 434197 429002.5 436240.5
310988.fastforwarding 920766 916076 930176
310988.ipfw-statefull 542173.5 536635.5 550397.5
310988.pf-statefull 414768.5 411443.5 417308
