#index median minimum maximum
forwarding 12230354 12218374 12241656
ipfw-stateful 7187565 6901710 7239320
ipfw-stateless 9413939 9177110 9504245
pf-stateful 5798508 5762227 5839930
pf-stateless 5163136 5142609.5 5338475
ipf-stateful 1287312 1282569.5 1312549
ipf-stateless 2940118.5 2935330.5 2946730
