#index median minimum maximum
r368606.inet4 31971433 31964087 31979331
r368606.inet6 31085165 31080364 31088281
r368606D27401v4.inet4 31918297 31911429 31932540
r368606D27401v4.inet6 31086549 31084717 31089077
