#index median minimum maximum
"OpenVPN\naes-gcm-256" 63 62 64
"OpenVPN\naes-gcm-128" 64 63 64
"WireGuard user\nChaCha20,Poly1305" 117 116 117
"WireGuard kernel\nChaCha20,Poly1305" 483 482 484
"IPsec VTI\naes-gcm-128" 560 559 565
"IPsec VTI\naes-gcm-256" 550 549 561
