#index median minimum maximum
"OpenVPN\naes-gcm-256" 0.124 0.123 0.124
"OpenVPN\naes-gcm-128" 0.126 0.126 0.128
"OpenVPN\nnull" 0.169 0.168 0.170
"WireGuard user\nChaCha20,Poly1305" 0.171 0.170 0.172
"WireGuard kernel\nChaCha20,Poly1305" 0.711 0.695 0.718
"IPsec\naes-gcm-256" 1.584 1.583 1.584
"IPsec\naes-gcm-128" 1.639 1.637 1.651
"IPsec\nnull" 3.335 3.311 3.353
