# queue	median	minimum		maximum
1 1379151 1377455 1383022
2 2596119 2595949 2602639
3 2848062 2828135 2854251
4 5176184 5175726 5182681
5 4147113 4100429 4151366
6 4845846 4840081 4863335
7 5070751 5066231 5087295
8 4614369 4611262 4649438
