#index median minimum maximum
"Xeon E5-2650v4\n2x12Cores\nMellanox ConnectX-4" 13798480 13766503 13825864
"Xeon E5-2650v4\n2x12Cores\nChelsio T520" 10363403 10339106 10393235
"Xeon E5-2650\n8Cores\nChelsio T540" 11377671 11249510 11497368
"Atom C2758\n8Cores\nChelsio T540" 3261402 3222614 3337306
"Atom C2758\n8Cores\nIntel 82599" 2892787 2814134.5 2938335
