#index median minimum maximum
"Xeon E5-2697Av4\n16Cores\n100G Mellanox ConnectX-4" 18795241 18769691 18811534
"Xeon E5-2697Av4\n16Cores\n40G Chelsio T580" 10500512 10475224 10639880
