#index median minimum maximum
"ipfw, 1q" 127300 126883.5 127474
"ipfw-at-nic-level, 1q" 191362.5 186416 193007.5
"ipfw, 8q" 481205 455702.5 494585
"ipfw-at-nic-level, 8q" 999599.5 999022 999652
"ipfw, 16q" 972102 895624.5 979070
"ipfw-at-nic-level, 16q" 999946 999940.5 1000000.5
