#key median minimum maximum
1 1199682 1189795 1200125
2 1707862 1682173 1778483
3 1904508 1898512 1967253
4 2565039 2269851 2580742
5 2016438 1927777 2039046
6 1760286 1697397 1866248
7 1539144 1345079 1648023
8 1235417 1219407 1355429
