#index median minimum maximum
forwarding 492725 490696 493072.5
ipf-stateful 203740 202452 209717
ipf-stateless 277980 277163 279546
ipfw-stateful 341306.5 322061 344054.5
ipfw-stateless 397202.5 395874.5 399945.5
pf-stateful 214758 214234.5 216102
pf-stateless 184172 183892 184534
