#key median minimum maximum
1 2822467 2730699 2846236
2 1689133 1630668 1727295
3 1953397 1924443 2034795
4 2641486 2620036 2845398
5 2483577 2405574 2585500
6 2244991 2099932 2465765
7 2076386 1857057 2150505
8 1865297 1617514 1895417
