#index median minimum maximum
308618.ipfw-statefull 1004948 1000251.5 1060292
308618.pf-statefull 970439.5 953609.5 995565
308904.fastforwarding 1169027 1105922.5 1237932
308904.ipfw-statefull 1057601 1033463.5 1085756.5
308904.pf-statefull 960392.5 942407.5 985976.5
309220.fastforwarding 1165915.5 1156974.5 1254057.5
309220.ipfw-statefull 995007.5 979399 1013960
309220.pf-statefull 956606.5 908234 975732
309256.fastforwarding 1153746 1073072 1244185
309256.ipfw-statefull 956492.5 934224 1048383.5
309256.pf-statefull 917887.5 907461 968377
309257.fastforwarding 3141402.5 3118760 3197191.5
309257.ipfw-statefull 1806970.5 1784255 1816251
309257.pf-statefull 1410488 1294920.5 1429246
309541.fastforwarding 3157828.5 2612758.5 3161911
309541.ipfw-statefull 1866397 1646542 1873399
309541.pf-statefull 1405391 1289358 1415723.5
309856.fastforwarding 3051734 2565331 3104316
309856.ipfw-statefull 1831239 1808822 1839211
309856.pf-statefull 1402820 1287669.5 1409685.5
