forwarding 4874362 4440170 5023437.5
ipfw-stateful 2439423 2424589 2488800
ipfw-stateless 3519196 3454706.5 3589962
pf-stateful 1687626 1673246 1694024
pf-stateless 1373878 1345409.5 1376369.5
ipf-stateful 903335 887484.5 910677.5
ipf-stateless 1086437 1072990 1089123
