#index median minimum maximum
r368766.inet4 2655672 2616815 2699557
r368766.inet6 3162892 3088878 3222444
r368766D27401v80909.inet4 2626806 2535157 2692514
r368766D27401v80909.inet6 2991535 2961467 3138679
