#index median minimum maximum
32KiB 370601 368927 372951
65KiB 371992 369031 374784.5
128KiB 371595.5 367123 374040
256KiB 371206 366907 372809
512KiB 371214 368233 375465.5
1MiB 369179 367410.5 371644.5
2MiB 369982 364193 372619
4MiB 369394 364760 373165
8MiB 370022 368837 372467
16MiB 368944 364635 373788
32MiB 368319 366554 370400
