#index median minimum maximum
r368287 14817116 14816846 14817302
"r368287+D27401\n(80345)" 14816937 14816864 14817034
r368606 14817036 14816971 14817148
"r368606+D27401\n(80654)" 14816706 14816412 14816799
"r368606+D27401\n(80654)" 14816836 14816700 14816912
