#index median minimum maximum
308618.ipfw-statefull 367.5185 366.101 371.609
308618.pf-statefull 289.34 287.9905 293.345
308904.fastforwarding 522.426 511.702 528.2405
308904.ipfw-statefull 352.971 350.175 355.418
308904.pf-statefull 277.717 272.2875 277.984
309220.fastforwarding 535.081 505.46 539.743
309220.ipfw-statefull 352.776 335.306 355.5155
309220.pf-statefull 292.456 290.058 299.487
309541.fastforwarding 637.016 631.7265 643.07
309541.ipfw-statefull 365.401 357.412 367.1735
309541.pf-statefull 280.431 279.858 281.6595
309856.fastforwarding 633.565 628.581 637.163
309856.ipfw-statefull 339.052 335.6655 343.578
309856.pf-statefull 281.865 280.9815 288.3755
310236.fastforwarding 637.743 636.321 646.601
310236.ipfw-statefull 376.288 374.0775 383.631
310236.pf-statefull 291.606 289.72 292.2695
310988.fastforwarding 575.108 569.783 576.061
310988.ipfw-statefull 380.055 378.413 384.438
310988.pf-statefull 289.3965 281.452 292.272
