#key median minimum maximum
1 843570 840164 845286
2 1122388 1108612 1192397
3 1332924 1271390 1364972
4 913556 622889 1149594
5 922691 733475 1073056
6 530637 427411 614579
7 467344 387682 547153
8 391551 383417 429796
9 373480 319660 385788
10 320906 283989 379131
11 340155 308655 371030
12 336549 257704 348935
13 327171 253557 336351
14 259886 252236 310368
15 292623 233725 317691
16 217558 214784 291208
