#config median min max
tx_abdicate_off_v4 874254.5 848829 881892
tx_abdicate_off_v6 869638.5 860941.5 874032.5
tx_abdicate_on_v4 870917 862766 882314
tx_abdicate_on_v6 878642.5 871028.5 884170
