#index median minimum maximum
forwarding 24466188 24278724 24796012
ipfw-stateful 13396291 12627932 13706672
ipfw-stateless 15204726 14797624 15365420
pf-stateful 11613500 11508971 11703338
pf-stateless 9665612 9545254 9801647
ipf-stateful 619397 614130.5 626429
ipf-stateless 1409122 1390831 1461687
