forwarding 4407349 4400985 4424927
ipfw-stateful 2892787 2814134.5 2938335
ipfw-stateless 3324879 3259144.5 3368611
pf-stateful 2272766 2252465 2288541
pf-stateless 2135483 2121332 2173975
ipf-stateful 665033 644940.5 671858
ipf-stateless 1054819 1036452 1056739
