293069 1225786 865000 1249865
293643 1116456 840481.5 1139270
294235 1160377 909430 1198214
294694 1193680 875188 1198679
295106 1237723 866206 1254481
295385 1227533 858825.5 1231256.5
295618 1208985 879456 1213037.5
295869 865267 852607 1251904.5
296167 1244315 806307.5 1252929
296435 1192107 873329 1203234
296813 884217 843175.5 1211415.5
297086 1232088.5 850876 1253691.5
297322 1197619 913363 1204052
297529 954207 878823 1245227.5
297791 1184363 1169067 1192056
298166 918555.5 862619 1231259
298553 856291.5 851261 1220463.5
298902 1144974.5 887790 1251479
299866 1238664 896852.5 1247937.5
300438 1137962.5 844231 1253160.5
300974 996774.5 864800.5 1251083
301464 792160 759536 815221
301838 884678 828983 893616
302020 844992 815642 853474.5
302216 828025 776944 845463
302331 908749 826625.5 924739.5
302532 872763.5 858185 899122
302973 871570 864551 901541.5
303277 834255 821233 849827.5
303601 841378 825064 855630
303642 845905 799270.5 859622.5
303643 989836 930785.5 1045015
303818 1007788 997505 1035944
304096 1030980.5 970069 1062047.5
304572 1029908 960814 1059719
304970 1019297 951083 1022021.5
305396 1029386 995194 1030670
305711 1019203 984595 1048999
305953 1031400 1006345 1073151.5
306320 1014411 925724 1046764
306592 1006655 982824 1039168
306928 1043873 990710 1053561
307402 1055951 965473 1063800
307832 1039169 960868 1054191
308115 1029107 940422.5 1067486
308387 1006581 991895.5 1031456
308618 1004948 1000251.5 1060292
308904 1057601 1033463.5 1085756.5
309220 995007.5 979399 1013960
309256 956492.5 934224 1048383.5
309257 1806970.5 1784255 1816251
309541 1866397 1646542 1873399
309856 1831239 1808822 1839211
