forwarding 4945459 4835202 4974368
ipfw-stateful 2679256 2606354 2693247
ipfw-stateless 3615405 3572935 3651995
pf-stateful 2300586 2262064.5 2313784
pf-stateless 1805302.5 1785345 1830443.5
ipf-stateful 644661 638382 659685.5
ipf-stateless 1106019 1099845.5 1109095
