293069 505342 501485.5 511015
293643 513433.5 504183 527785
294235 499334 490741.5 518923.5
294694 495893 495385 511931
295106 502262 499780 511703.5
295385 515754 514480 523239
295618 511040 505474 513124
295869 515308 512695 519869
296167 515422 510696 522802.5
296435 531850 530529 536148.5
296813 516231.5 514226.5 522020
297086 520127 519754 553840
297322 510803.5 504194 517465
297529 520561 511258 525056
297791 525875 513691 541368.5
298166 509936 505525.5 514218
298553 517189 510632 520807
298902 512371 509957.5 539349
299866 511833 509456 513114
300438 527683.5 518771.5 529113
300974 506297 503421 514571
301464 513007.5 507694 520126
301838 504789 498221 510219
302020 504107 502130 514149
302216 537909.5 522712 542780.5
302331 502690 498527 517653
302532 524406 519795 557798
302973 506626 501348 511311
303277 520702 513092 522339
303601 510769.5 501459.5 513579
303642 507798 502255 512595
303643 485928 478739 487696
303818 485596 475183.5 489175
304096 498041 490398.5 514684
304572 472031 471300 491006
304970 489141 478472 493832
305396 490965.5 487289 502436
305711 494194 486002 510000.5
305953 496061 486213 496904
306320 488956 479589.5 499199
306592 476627 468562 478665.5
306928 485747 480190 494849
307402 486825 474796 491679
307832 502855 490099 513824.5
308115 502669 493734 508593.5
308387 477900 475303 484714.5
308618 490629.5 486693 499659.5
308904 489323 486850.5 493636
309220 465218.5 462693 468233
309256 493338 487297 498850.5
309257 569823 565711 584289.5
309541 555455 552761 557643
309856 546578 535086 549051
310236 550756 547243 573599
310988 542173.5 536635.5 550397.5
