forwarding 11771167 10894598 11819392
ipfw-stateful 12616255 12583159 12624224
ipfw-stateless 11781912 11756478 11801776
pf-stateful 10822187 10792739 10860214
pf-stateless 11053296 11011154 11081555
ipf-stateful 2992086 2950169 3027021
ipf-stateless 4631147 4562739 4650849
