forwarding 26924831 26774810 27058354
ipfw-stateful 11940322 11705187 11974176
ipfw-stateless 15347687 15316994 15594613
pf-stateful 11106189 10941378 11364398
pf-stateless 9602071 9388175 9653582
ipf-stateful 618506 605135 639638
ipf-stateless 1438843 1412039 1483147.5
