#key median minimum maximum
1 806725 782752 813382
2 1156890 1074389 1181283
3 1249847 1235073 1304699
4 781397 764434 843887
5 493734 455237 550940
6 469682 383086 523887
7 425846 397380 462024
8 371326 268418 404874
9 384318 371101 390271
10 331253 257307 364244
11 327719 251038 341795
12 318700 239325 321790
13 278286 231973 320506
14 221277 199774 280238
15 277047 206652 299094
16 244754 188844 250809
