forwarding 5840196 5773014 6052320
ipfw-stateful 3261402 3222614 3337306
ipfw-stateless 4166632 4117589 4215606
pf-stateful 2720424 2668298 2733535
pf-stateless 2283764 2235141 2297989
ipf-stateful 669968 662674 675144
ipf-stateless 1129093 1114075 1134469
